MC,CLA,CLS,Q,CLR
0,0.44,-,0,[]
0.44,10.12,10.44,1,[]
10.12,15.01,10.44,2,[]
10.44,15.01,20.44,1,[]
15.01,16.08,20.44,2,[]
16.08,25.26,20.44,2,[17.392817351708835]
17.39,25.26,20.44,2,[18.544277710583483]
18.54,25.26,20.44,2,[21.49209644331817]
20.44,25.26,30.44,1,[21.49209644331817]
21.49,25.26,30.44,2,[]
25.26,31.70,30.44,2,[25.912511629213917]
25.91,31.70,30.44,2,[30.572185530099205]
30.44,31.70,40.44,1,[30.572185530099205]
30.57,31.70,40.44,2,[]
31.70,43.62,40.44,2,[40.56759888165152]
40.44,43.62,50.44,1,[40.56759888165152]
40.57,43.62,50.44,2,[]
43.62,48.36,50.44,2,[43.99430789379015]
43.99,48.36,50.44,2,[49.893147897955195]
48.36,52.78,50.44,2,"[49.893147897955195, 48.989033488891614]"
48.99,52.78,50.44,2,"[48.989033488891614, 56.152117578138736]"
49.89,52.78,50.44,2,"[56.152117578138736, 56.569935855767376]"
50.44,52.78,60.44,1,"[56.152117578138736, 56.569935855767376]"
52.78,69.75,60.44,2,"[56.152117578138736, 56.569935855767376]"
56.15,69.75,60.44,2,"[56.569935855767376, 56.67862250727737]"
56.57,69.75,60.44,2,"[56.67862250727737, 62.310975165840894]"
56.68,69.75,60.44,2,"[62.310975165840894, 58.36195530444304]"
58.36,69.75,60.44,2,"[58.36195530444304, 62.167926314522134]"
60.44,69.75,70.44,1,"[58.36195530444304, 62.167926314522134]"
62.17,69.75,70.44,2,[62.167926314522134]
62.31,69.75,70.44,2,[72.05101750010314]
69.75,75.79,70.44,2,"[72.05101750010314, 76.36196775923878]"
70.44,75.79,80.44,1,"[72.05101750010314, 76.36196775923878]"
72.05,75.79,80.44,2,[76.36196775923878]
75.79,78.94,80.44,2,"[76.36196775923878, 84.70246962607905]"
76.36,78.94,80.44,2,"[84.70246962607905, 76.8266717227754]"
76.83,78.94,80.44,2,"[76.8266717227754, 82.96692495725318]"
78.94,78.98,80.44,2,"[76.8266717227754, 82.96692495725318, 82.73912914723013]"
78.98,79.21,80.44,2,"[76.8266717227754, 82.96692495725318, 82.73912914723013, 80.11559135829181]"
79.21,85.70,80.44,2,"[76.8266717227754, 82.96692495725318, 82.73912914723013, 80.11559135829181, 82.93416706612443]"
80.12,85.70,80.44,2,"[82.96692495725318, 82.73912914723013, 80.11559135829181, 82.93416706612443, 85.71871642964034]"
80.44,85.70,90.44,1,"[82.96692495725318, 82.73912914723013, 80.11559135829181, 82.93416706612443, 85.71871642964034]"
82.74,85.70,90.44,2,"[82.73912914723013, 80.11559135829181, 82.93416706612443, 85.71871642964034]"
82.93,85.70,90.44,2,"[80.11559135829181, 82.93416706612443, 85.71871642964034, 89.25735459754729]"
82.97,85.70,90.44,2,"[82.93416706612443, 85.71871642964034, 89.25735459754729, 91.30170082286284]"
84.70,85.70,90.44,2,"[85.71871642964034, 89.25735459754729, 91.30170082286284, 93.65398200038983]"
85.70,86.74,90.44,2,"[85.71871642964034, 89.25735459754729, 91.30170082286284, 93.65398200038983, 101.41042247084131]"
85.72,86.74,90.44,2,"[89.25735459754729, 91.30170082286284, 93.65398200038983, 101.41042247084131, 86.49942612908698]"
86.50,86.74,90.44,2,"[91.30170082286284, 93.65398200038983, 101.41042247084131, 86.49942612908698, 92.07475670991776]"
86.74,88.66,90.44,2,"[91.30170082286284, 93.65398200038983, 101.41042247084131, 86.49942612908698, 92.07475670991776, 103.32831495659725]"
88.66,97.64,90.44,2,"[91.30170082286284, 93.65398200038983, 101.41042247084131, 86.49942612908698, 92.07475670991776, 103.32831495659725, 90.44171580042736]"
89.26,97.64,90.44,2,"[93.65398200038983, 101.41042247084131, 86.49942612908698, 92.07475670991776, 103.32831495659725, 90.44171580042736, 90.10526023083217]"
90.11,97.64,90.44,2,"[101.41042247084131, 86.49942612908698, 92.07475670991776, 103.32831495659725, 90.44171580042736, 90.10526023083217, 90.14903989845374]"
90.15,97.64,90.44,2,"[86.49942612908698, 92.07475670991776, 103.32831495659725, 90.44171580042736, 90.10526023083217, 90.14903989845374, 96.2818059812881]"
90.44,97.64,100.44,1,"[86.49942612908698, 92.07475670991776, 103.32831495659725, 90.44171580042736, 90.10526023083217, 90.14903989845374, 96.2818059812881]"
90.44,97.64,100.44,2,"[92.07475670991776, 103.32831495659725, 90.44171580042736, 90.10526023083217, 90.14903989845374, 96.2818059812881]"
91.30,97.64,100.44,2,"[103.32831495659725, 90.44171580042736, 90.10526023083217, 90.14903989845374, 96.2818059812881, 104.80232698562283]"
92.07,97.64,100.44,2,"[90.44171580042736, 90.10526023083217, 90.14903989845374, 96.2818059812881, 104.80232698562283, 94.36949473783659]"
93.65,97.64,100.44,2,"[90.10526023083217, 90.14903989845374, 96.2818059812881, 104.80232698562283, 94.36949473783659, 101.60552300971364]"
94.37,97.64,100.44,2,"[90.14903989845374, 96.2818059812881, 104.80232698562283, 94.36949473783659, 101.60552300971364, 96.17489457322638]"
96.17,97.64,100.44,2,"[96.2818059812881, 104.80232698562283, 94.36949473783659, 101.60552300971364, 96.17489457322638, 103.84712191729399]"
96.28,97.64,100.44,2,"[104.80232698562283, 94.36949473783659, 101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631]"
96.71,97.64,100.44,2,"[94.36949473783659, 101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926]"
96.90,97.64,100.44,2,"[101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487]"
97.64,97.94,100.44,2,"[101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201]"
97.94,101.30,100.44,2,"[101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625]"
100.44,101.30,110.44,1,"[101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625]"
101.30,101.58,110.44,2,"[101.60552300971364, 96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625]"
101.41,101.58,110.44,2,"[96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328]"
101.58,109.36,110.44,2,"[96.17489457322638, 103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715]"
101.61,109.36,110.44,2,"[103.84712191729399, 96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787]"
102.30,109.36,110.44,2,"[96.70811737427631, 96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563]"
103.33,109.36,110.44,2,"[96.89596793779926, 105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189]"
103.85,109.36,110.44,2,"[105.34324230403487, 104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586]"
104.29,109.36,110.44,2,"[104.29103636883201, 106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538]"
104.80,109.36,110.44,2,"[106.82360813953625, 107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599]"
105.00,109.36,110.44,2,"[107.26884953932328, 105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382]"
105.23,109.36,110.44,2,"[105.38354551555715, 102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041]"
105.34,109.36,110.44,2,"[102.29768922039787, 105.22935036277563, 104.99888121187189, 106.14117417398586, 112.95010760010538, 111.3430743652599, 106.87172785694382, 110.41589648899041, 108.92637388741811]"
