MC,CLA,CLS,Q,CLR
0,2,-,0,[]
2,8.0,12.0,1,[]
8.0,14.0,12.0,2,[]
12.0,14.0,22.0,1,[]
14.0,20.0,22.0,2,[]
20.0,26.0,22.0,2,[25.0]
22.0,26.0,32.0,1,[25.0]
25.0,26.0,32.0,2,[]
26.0,32.0,32.0,2,[31.0]
31.0,32.0,32.0,2,[36.0]
32.0,38.0,32.0,2,"[36.0, 37.0]"
32.0,38.0,42.0,1,"[36.0, 37.0]"
36.0,38.0,42.0,2,[37.0]
37.0,38.0,42.0,2,[42.0]
38.0,44.0,42.0,2,"[42.0, 43.0]"
42.0,44.0,42.0,2,"[43.0, 47.0]"
42.0,44.0,52.0,1,"[43.0, 47.0]"
43.0,44.0,52.0,2,[47.0]
44.0,50.0,52.0,2,"[47.0, 49.0]"
47.0,50.0,52.0,2,"[49.0, 52.0]"
49.0,50.0,52.0,2,"[52.0, 54.0]"
50.0,56.0,52.0,2,"[52.0, 54.0, 55.0]"
52.0,56.0,52.0,2,"[54.0, 55.0, 57.0]"
52.0,56.0,62.0,1,"[54.0, 55.0, 57.0]"
54.0,56.0,62.0,2,"[55.0, 57.0]"
55.0,56.0,62.0,2,"[57.0, 60.0]"
56.0,62.0,62.0,2,"[57.0, 60.0, 61.0]"
57.0,62.0,62.0,2,"[60.0, 61.0, 62.0]"
60.0,62.0,62.0,2,"[61.0, 62.0, 65.0]"
61.0,62.0,62.0,2,"[62.0, 65.0, 66.0]"
62.0,62.0,62.0,2,"[65.0, 66.0, 67.0]"
62.0,68.0,62.0,2,"[65.0, 66.0, 67.0, 67.0]"
62.0,68.0,72.0,1,"[65.0, 66.0, 67.0, 67.0]"
65.0,68.0,72.0,2,"[66.0, 67.0, 67.0]"
66.0,68.0,72.0,2,"[67.0, 67.0, 71.0]"
67.0,68.0,72.0,2,"[67.0, 71.0, 72.0]"
67.0,68.0,72.0,2,"[71.0, 72.0, 72.0]"
68.0,74.0,72.0,2,"[71.0, 72.0, 72.0, 73.0]"
71.0,74.0,72.0,2,"[72.0, 72.0, 73.0, 76.0]"
