MC,CLA,CLS,Q,CLR
0,1.03,-,0,[]
1.03,8.88,11.03,1,[]
8.88,13.19,11.03,2,[]
11.03,13.19,21.03,1,[]
13.19,13.96,21.03,2,[]
13.96,16.00,21.03,2,[18.237023261886396]
16.00,16.20,21.03,2,"[18.237023261886396, 16.76995956050439]"
16.20,16.43,21.03,2,"[18.237023261886396, 16.76995956050439, 16.592727863532694]"
16.43,18.00,21.03,2,"[18.237023261886396, 16.76995956050439, 16.592727863532694, 21.99918310890437]"
16.59,18.00,21.03,2,"[16.76995956050439, 16.592727863532694, 21.99918310890437, 23.369288307053214]"
16.77,18.00,21.03,2,"[16.592727863532694, 21.99918310890437, 23.369288307053214, 18.57380228942366]"
18.00,28.84,21.03,2,"[16.592727863532694, 21.99918310890437, 23.369288307053214, 18.57380228942366, 21.624302790647214]"
18.24,28.84,21.03,2,"[21.99918310890437, 23.369288307053214, 18.57380228942366, 21.624302790647214, 24.67882446495097]"
18.57,28.84,21.03,2,"[23.369288307053214, 18.57380228942366, 21.624302790647214, 24.67882446495097, 28.426697959125576]"
21.03,28.84,31.03,1,"[23.369288307053214, 18.57380228942366, 21.624302790647214, 24.67882446495097, 28.426697959125576]"
21.62,28.84,31.03,2,"[18.57380228942366, 21.624302790647214, 24.67882446495097, 28.426697959125576]"
22.00,28.84,31.03,2,"[21.624302790647214, 24.67882446495097, 28.426697959125576, 30.755196752865388]"
23.37,28.84,31.03,2,"[24.67882446495097, 28.426697959125576, 30.755196752865388, 28.549193332198428]"
24.68,28.84,31.03,2,"[28.426697959125576, 30.755196752865388, 28.549193332198428, 25.87235496930996]"
25.87,28.84,31.03,2,"[30.755196752865388, 28.549193332198428, 25.87235496930996, 27.698416750071956]"
27.70,28.84,31.03,2,"[28.549193332198428, 25.87235496930996, 27.698416750071956, 38.42758205446834]"
28.43,28.84,31.03,2,"[25.87235496930996, 27.698416750071956, 38.42758205446834, 31.567221786114352]"
28.55,28.84,31.03,2,"[27.698416750071956, 38.42758205446834, 31.567221786114352, 45.19074649298086]"
