Repetition,Mean T,95th Perc of T,Mean D,95th Perc of D,P - Total Time to Process 1000 Devices
1,18.880488910483127,41.526590021854645,15.220489029776335,28.603123922126542,18674.263254192123
2,18.998625781926414,41.20244616049422,20.295788422732837,28.219705440615144,18229.010439405487
3,19.53911231641308,42.76417075871541,30.922258880042744,57.95029035738844,18103.461353809736
4,18.752483114008697,39.713563281622555,13.917974263689908,13.38417926296097,18759.600148377896
5,21.581884225626226,48.783085073298935,30.91872386972018,72.90461252616115,17428.311644016358
6,21.17040195704991,48.87136499443659,19.44570312047932,48.45031684272362,18101.367418060792
7,23.174079288119312,53.216578267539944,26.408475688897067,73.66130935770434,17703.566681074717
8,19.23259532908888,39.697160475010605,24.775349374456123,33.90752478005402,18142.50635393658
9,20.593371684345165,45.28574338226463,17.095716801934607,35.30156918843568,17433.226468313977
10,19.17150975533,42.554798523386125,23.830896384932174,34.86033945524832,17735.23735050272
11,19.564893222443146,41.97455827255271,15.928598142861436,22.158591981405152,18613.87259365183
12,19.632084125707976,45.19465557455442,26.39520731166119,45.27378214348573,17691.025930448253
13,20.03934046829736,46.07182131407535,22.32162265054032,41.225080701855404,17582.1368174948
14,19.061575873172607,39.27902856868968,20.860607941319586,40.02495533372621,17978.178183281438
15,18.281884172141368,37.543418067986636,22.271233811506683,30.41229702187229,19121.68289536791
16,20.968640963519817,47.712997011334664,22.999205098605824,64.97264607394573,17531.711779972196
17,20.54010349146527,45.753543745819115,20.555497159682687,52.92480062339928,17749.49853101533
18,18.835302039551603,39.20447281766792,15.819747270820395,26.43886776481122,18070.891579083658
19,22.50957766619371,49.69560967749749,22.77356718659419,54.705773735058756,16859.825451452456
20,21.693609724909262,50.42922514880502,26.07336967146695,82.31825469638943,17776.526638915053
21,19.161621694077912,40.71480351495666,13.371777600210212,21.573923161809944,17910.983069834034
22,19.56632455585095,42.78486519609032,10.83858355457934,15.740487394741649,17644.40148715417
23,20.78771054479045,47.81528816239188,21.10233419891187,50.08696509218316,17804.880592586134
24,18.668860054685606,38.1438387847611,15.905853145060064,12.86732300517724,18746.14963929492
25,18.45148616200684,36.59171439780084,11.105990626363564,7.267528055399453,17977.072527478773
26,20.177701176083964,43.55947795001157,23.887874014968506,40.88487051270931,17901.65021112596
27,18.08623435850205,38.75857376116801,33.93551313034,53.51901988037753,19096.121457814344
28,19.32632641776526,42.05270392677994,31.82863749272809,69.01704787230028,18287.5706981129
29,20.010430520409248,41.80122165514149,18.97673921142918,20.071245630279236,17564.28266749712
30,20.99759209968641,47.04426520341622,19.01357692882012,33.14692855415524,17257.319953004695
31,19.145404518061515,40.76312054374603,24.984307324523595,38.54135789793463,18650.871575047746
32,21.311315019881686,48.46600823901679,20.636041172427603,53.73407290457453,17410.67501258362
33,19.804745276457226,45.05679847458305,24.971909051764424,71.76460587587871,18342.995482585957
34,18.235520260154004,38.29173196511874,22.40084881605793,28.6854520509238,18589.625600403822
35,20.794807614328747,47.9135529226387,16.713999652780267,34.899762463270235,17963.82581417629
36,23.040837797316918,56.844990795227204,33.5589716170672,92.65458226856026,18739.314744541054
37,18.498169813697807,37.10557882074136,30.12749820244244,30.12749820244244,18184.564416857065
38,19.770142910416027,45.36816550044114,28.323109407373266,61.57788862289817,18529.28571038243
39,19.16895610481175,39.36653719521382,13.925972466955878,20.49671368631789,17264.093655703353
40,20.172078103331323,42.70456432866558,21.576354393471433,47.780485881869936,16948.0935593967
41,18.200347764227725,39.38744229580334,11.167911647280075,12.249374332864136,18489.511981174117
42,18.92877802074008,41.868654189435915,19.12013267577105,20.658603402434892,18947.975558476857
43,19.353420262874945,42.21547673663008,14.052806956290294,22.621738428001663,17257.587991592747
44,21.757020021996684,47.7718181491191,20.064912658757407,45.668972524856144,17719.844216538524
45,18.95560510397847,42.68920905980667,16.04292560397495,26.959909059544366,18363.067948602133
46,19.972819674076366,41.87718807028796,20.59736373702552,31.772084529631684,17892.161137949875
47,20.258806974538317,47.533922457350855,27.54824913531878,66.18815115577308,17963.642729376075
48,18.310785733022183,38.959310255961555,9.426798582821126,10.715114879269095,18567.669812078962
49,21.96908202239961,49.396282347737724,35.21275272651292,82.43525939008396,16935.765019459894
50,19.54156145992991,45.09083226428265,14.511108806269075,29.55464820020279,18155.469499543036
"
"
Readings for Service Time : ,11.0
Grand Mean T : ,19.892921123
CI Mean T : ,"[19.54173392959081, 20.244108316404894]"
Grand Mean of 95%  T : ,43.688255366
CI of Mean 95%  T : ,"[42.46962355975947, 44.90688717231784]"
Grand Mean D : ,21.2752177324
CI D : ,"[19.503472054716514, 23.04696341008415]"
Grand Mean of 95%  D : ,40.8191927225
CI of Mean 95%  D : ,"[35.049139693977466, 46.58924575105584]"
Mean P : ,18007.8475057
CI P : ,"[17854.14548864986, 18161.549522660003]"
