Readings for Service Time : 	11
Grand Mean T : 	19.89292112
CI Mean T : 	[19.54173392959081, 20.244108316404894]
Grand Mean of 95%  T : 	43.68825537
CI of Mean 95%  T : 	[42.46962355975947, 44.90688717231784]
Grand Mean D : 	21.27521773
CI D : 	[19.503472054716514, 23.04696341008415]
Grand Mean of 95%  D : 	40.81919272
CI of Mean 95%  D : 	[35.049139693977466, 46.58924575105584]
Mean P : 	18007.84751
CI P : 	[17854.14548864986, 18161.549522660003]

Readings for Service Time : 	12
Grand Mean T : 	24.21901848
CI Mean T : 	[23.777714117530937, 24.66032283372544]
Grand Mean of 95%  T : 	53.95837399
CI of Mean 95%  T : 	[52.71361332528988, 55.20313466132422]
Grand Mean D : 	24.21830844
CI D : 	[22.664826032012346, 25.771790842344988]
Grand Mean of 95%  D : 	54.97398818
CI of Mean 95%  D : 	[49.13602879186544, 60.811947560575234]
Mean P : 	18026.03008
CI P : 	[17881.092837188746, 18170.967324758898]

Readings for Service Time : 	13
Grand Mean T : 	29.98015822
CI Mean T : 	[29.181826631651088, 30.778489813435467]
Grand Mean of 95%  T : 	67.33751927
CI of Mean 95%  T : 	[64.7272014224166, 69.94783711532075]
Grand Mean D : 	31.53641779
CI D : 	[28.64214012977148, 34.430695455204535]
Grand Mean of 95%  D : 	84.33429893
CI of Mean 95%  D : 	[73.62127498141862, 95.047322882461]
Mean P : 	18020.80846
CI P : 	[17874.96279447357, 18166.654123049026]

Readings for Service Time : 	14
Grand Mean T : 	38.37285054
CI Mean T : 	[37.11744018055597, 39.62826089384078]
Grand Mean of 95%  T : 	89.23297086
CI of Mean 95%  T : 	[84.60934194313559, 93.85659977241626]
Grand Mean D : 	36.9736502
CI D : 	[34.388592820892356, 39.55870757081922]
Grand Mean of 95%  D : 	106.4913128
CI of Mean 95%  D : 	[96.15497749608146, 116.82764812164437]
Mean P : 	18011.14907
CI P : 	[17856.636453021365, 18165.661684580915]

Readings for Service Time : 	15
Grand Mean T : 	51.84119377
CI Mean T : 	[48.76109034553431, 54.92129720394888]
Grand Mean of 95%  T : 	133.1579901
CI of Mean 95%  T : 	[120.15901879876364, 146.1569614585123]
Grand Mean D : 	52.69767283
CI D : 	[46.820664002429226, 58.57468165331608]
Grand Mean of 95%  D : 	166.4551108
CI of Mean 95%  D : 	[144.65435404611335, 188.2558676070453]
Mean P : 	18099.09702
CI P : 	[17952.471973340453, 18245.72205917059]

Readings for Service Time : 	16
Grand Mean T : 	79.30979282
CI Mean T : 	[68.54959616709209, 90.06998947183351]
Grand Mean of 95%  T : 	228.1659178
CI of Mean 95%  T : 	[183.36647676723382, 272.96535882164335]
Grand Mean D : 	79.66779108
CI D : 	[66.54227689738647, 92.79330525807794]
Grand Mean of 95%  D : 	270.1101628
CI of Mean 95%  D : 	[221.7168824664614, 318.5034431986914]
Mean P : 	18149.88032
CI P : 	[17981.12117434739, 18318.63946397377]

Readings for Service Time : 	17
Grand Mean T : 	137.5931114
CI Mean T : 	[122.58384326669656, 152.60237957426776]
Grand Mean of 95%  T : 	425.1883215
CI of Mean 95%  T : 	[366.67144773704246, 483.70519526682546]
Grand Mean D : 	130.7713786
CI D : 	[114.12281419179568, 147.41994303333138]
Grand Mean of 95%  D : 	456.8894259
CI of Mean 95%  D : 	[392.8141752434306, 520.964676468745]
Mean P : 	18159.55246
CI P : 	[18009.441390758486, 18309.66352039148]
