Repetition,Mean T,95th Perc of T,Mean D,95th Perc of D,P - Total Time to Process 1000 Devices
1,39.32965407939778,98.65962296962243,39.070314206341585,110.09137990803538,18344.90346468728
2,35.1866666218852,84.3028581381268,35.33818849465735,99.55835232179561,18221.581021330338
3,41.39459136219576,101.3148581743817,45.39991707466546,142.70056296790608,17974.29946992238
4,37.22411010146987,87.91335805576591,36.55947780341406,96.63486088020181,18322.659708599123
5,45.4225367058492,123.80129458199008,50.82827408404189,134.15927640791415,16900.442962672238
6,36.08013129102436,75.12683513339653,25.018640495024073,74.41188087246883,18678.60377132971
7,50.28195748119376,131.80619914972885,52.17831690409677,184.06975658539704,16961.868744051877
8,36.43293039634287,81.35176029887953,32.70065624360757,81.0844886389059,18368.101840528565
9,38.09743526709054,84.4895073077796,30.46467272642077,75.02017008820621,17531.591867601597
10,33.34365033405596,69.50084642617821,20.059434809828154,48.20574925494657,18028.63881828241
11,33.637747724518576,69.97455827255271,24.927449514664364,73.62862423151091,18330.477757659603
12,32.22714449736025,68.0404063019023,29.899944237333926,74.34284602905973,17820.425655277544
13,40.87436429061598,87.86086736937614,39.14933442155267,92.29389772509307,17094.865445210096
14,40.95380124251159,103.89249975025632,49.35904224996669,147.624545938908,18064.139477874818
15,36.319345780721946,84.03082094481215,29.388524480248535,79.17897486638503,18880.074401628528
16,35.57230649273154,80.82674703630164,35.66887881201094,96.18152932115618,18659.21598352729
17,42.672405899905776,109.95765803332597,54.67463301662639,188.75533297797392,17686.196988251002
18,33.400413909415846,70.64424712585242,22.556524008650218,60.751073321602235,18133.10534252836
19,38.83934403945468,94.19422869020613,37.863190444675176,116.58030088209671,18405.130937767863
20,43.620707941135045,105.6989089044464,48.70073204188907,148.19405898818604,17803.155812078443
21,37.59409798785224,85.8679216915134,25.892282749782897,66.82170514803329,18060.89099358563
22,39.79778231259428,89.97301722850716,44.70521350303504,141.5921585858705,17670.00710429861
23,47.37815053662133,123.72582897164011,45.964251731637745,132.31835748609865,17324.455191639605
24,31.589888328630206,65.20679409343575,28.07367374886248,57.49447147548199,18652.254874123882
25,33.41009547902731,70.88039348385246,25.473663496983193,59.78191314058495,17782.544797074548
26,39.676655686574286,93.1853508166987,35.73741314951548,89.17389354126499,17455.451511320425
27,32.365154938413376,76.27827598548538,30.28152641317553,68.99016028256642,18917.651826347093
28,40.5208010027613,104.92060267561646,50.75158279749007,148.25527138172617,18188.322951354487
29,38.37210033811143,85.14117545722183,30.050929960204783,87.41037534047427,17999.798671121476
30,47.80142739209653,107.66339300580148,37.65308635137738,115.90665571958289,17530.384021114936
31,37.44872920859912,93.17643872530789,48.360721408700606,156.43268907846368,18953.41720826476
32,36.373216844666096,76.67257305345265,30.994380652567003,85.4660386184878,17486.18068728297
33,38.10732064027265,92.07557842214464,42.281209406607964,136.88720504601588,18317.73326379237
34,45.675822902196934,116.80819272488043,52.82517203237674,178.24670705897734,17620.621039622696
35,43.9440409452802,109.00852570720434,47.978824917925735,138.52293212075347,17421.114575080177
36,34.71178512581867,75.12025432569135,38.79565269882323,95.78966328425304,18926.824693413324
37,38.65489608808504,90.50402964798104,46.34257687384235,127.92650621177745,18080.724125900186
38,31.50821636975468,68.5414113686113,24.831129642584866,51.185250033635384,19011.655339896373
39,37.73016329344245,79.7514823918118,31.832907621303292,92.99705621272915,17376.790574656334
40,37.788562510137226,80.0229695125945,26.89187936092115,73.68402574237234,17641.66516291362
41,31.05081692130139,69.7950892407971,24.64071160960494,59.358360246853636,18560.32667863264
42,38.11910776978308,87.41982925250079,32.53929931728879,84.35855237258875,18140.528332924474
43,38.81907036981179,84.85352492763104,43.57061655490135,140.48799855567086,17337.36516648559
44,40.2499466324488,88.16424283311972,36.36210781500381,105.90939912861677,17953.05694219784
45,34.1134670737369,71.22483845256767,30.64327300034448,102.10030282263051,18000.98491029019
46,35.72414413378714,75.74845687219295,32.61165031947455,101.0622338711346,18389.015929324305
47,47.29343429506065,129.17704448882432,53.97845830097408,191.99837955534713,17297.234374048672
48,33.8678560928506,74.86953683109823,40.60694081365755,133.5488629456213,19125.77078841305
49,40.13555868206532,93.46443505904972,34.40327364491127,98.05742421463037,17496.60135649533
50,37.9089714992605,89.01925297668004,33.80195382919569,79.33342901315154,17628.600877632358
"
"
Readings for Service Time : ,14.0
Grand Mean T : ,38.3728505372
CI Mean T : ,"[37.11744018055597, 39.62826089384078]"
Grand Mean of 95%  T : ,89.2329708578
CI of Mean 95%  T : ,"[84.60934194313559, 93.85659977241626]"
Grand Mean D : ,36.9736501959
CI D : ,"[34.388592820892356, 39.55870757081922]"
Grand Mean of 95%  D : ,106.491312809
CI of Mean 95%  D : ,"[96.15497749608146, 116.82764812164437]"
Mean P : ,18011.1490688
CI P : ,"[17856.636453021365, 18165.661684580915]"
