Advertiser,Keyword,Bid Value,Budget
0,lucius review,0.2,103
0,houston rockets,0.7,
0,mockingbird lane,0.5,
0,60 minutes,0.2,
1,new york nanny agencies,0.2,343
1,ihsa football scores,0.8,
1,nba preseason stats,0.1,
1,houston rockets,0.8,
1,greys anatomy s9e4,0.4,
1,benghazi attack,0.6,
1,vegas,0.9,
1,mockingbird lane,0.9,
1,storm,0.9,
1,sandy,0.9,
2,nexus 10,0.9,221
2,ms surface,0.5,
2,greys anatomy s9e4,0.5,
2,mockingbird lane,0.9,
2,saanvi,0.7,
2,florida vs georgia,0.9,
2,&esrc=s,0.6,
3,ihsa football scores,0.7,366
3,elise build,0.4,
3,mac mini,0.4,
3,ios 6 update,0.6,
3,asus vivo tab,0.7,
3,farming simulator 2013,0.4,
3,google,0.2,
3,android 4.2,0.8,
3,marvel spec ops 4,0.6,
3,nexus 7,0.8,
3,hurricane,0.7,
3,it's a mad king's world,0.4,
3,ipad mini review,0.2,
3,&esrc=s,0.3,
4,elise build,0.5,146
4,fallen enchantress review,0.5,
4,faithful 1.4.2,0.1,
4,mitt romney,0.5,
4,android 4.2,0.9,
4,lucius,0.1,
4,halloween summoner icons,0.4,
5,minecraft version changer,0.3,93
5,lucius review,0.3,
5,ios 6 update,0.1,
5,nexus,0.7,
